"codigo";"marca";"nombre";"genero";"ml";"segmento";"costoUSD";"costoARSpuesto";"margenBruto";"ars_revendedor";"ars_tienda";"ars_mayorista"
"198376";"ARMAF";"Odyssey Dubai Chocolat EDP 100ml";"U";"100ml";"arabe";"16,99";"23596";"25";"29500";"28100";"26600"
"204757";"LATTAFA";"Fakhar Platin EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"12091";"JACQUES BOGART";"Silver Scent EDT 100ml";"M";"100ml";"mid";"20";"27776";"40";"38900";"37000";"35000"
"198826";"CAROLINA HERRERA";"212 Vip Rosé EDP 80ml";"F";"80ml";"lujo";"75";"104160";"60";"166700";"158400";"150000"
"906799";"MONT BLANC";"Legend EDT 100ml";"M";"100ml";"mid";"37,99";"52761";"40";"73900";"70200";"66500"
"200710";"ARMAF";"Odyssey Mega EDP 100ml";"M";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"13329";"AL WATANIAH";"Ameerati EDP 100ml";"F";"100ml";"arabe";"12,5";"17360";"25";"21700";"20700";"19600"
"200720";"ARMAF";"Odyssey Aqua EDP 100ml";"M";"100ml";"arabe";"26";"36109";"25";"45200";"42900";"40700"
"95418";"ARMAF";"Odyssey Candee EDP 100ml";"F";"100ml";"arabe";"16,99";"23596";"25";"29500";"28100";"26600"
"117299";"ARMAF";"Odyssey Tyrant EDP 100ml";"M";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"117323";"ARMAF";"Odyssey Aoud EDP 100ml";"M";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"103193";"ARMAF";"Odyssey Limoni EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"206109";"ARMAF";"Island Bliss EDP 100ml";"F";"100ml";"arabe";"36";"49997";"25";"62500";"59400";"56300"
"673880";"FERRARI";"Scuderia Black EDT 125ml";"M";"125ml";"mid";"19";"26387";"40";"37000";"35100";"33300"
"238887";"LATTAFA";"Asad Elixir EDP 100ml";"M";"100ml";"arabe";"28";"38886";"25";"48700";"46200";"43800"
"43387";"LATTAFA";"Mayar EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"62120";"LATTAFA";"Niche Emarati Khanjar EDP 85ml";"U";"85ml";"arabe";"38";"52774";"25";"66000";"62700";"59400"
"211935";"AL WATANIAH";"Sabah Al Ward Sugar EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"21394";"LATTAFA";"Pride Ansaam Gold EDP 100ml";"U";"100ml";"arabe";"21";"29165";"25";"36500";"34700";"32900"
"66594";"LATTAFA";"Yara Tous EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"735307";"LANCOME";"La Vie Est Belle EDP 100ml";"F";"100ml";"lujo";"80";"111104";"60";"177800";"168900";"160000"
"43253";"LATTAFA";"Yara Moi EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"42533";"CALVIN KLEIN";"CK Be EDT 100ml";"U";"100ml";"mid";"22";"30554";"40";"42800";"40700";"38500"
"5767";"LATTAFA";"Hayaati Gold Elixir EDP 100ml";"U";"100ml";"arabe";"11";"15277";"25";"19100";"18200";"17200"
"2057";"AL WATANIAH";"Sabah Al Ward EDP 100ml";"F";"100ml";"arabe";"18";"24998";"25";"31300";"29700";"28200"
"2046";"AL WATANIAH";"Durrat Al Aroos EDP 85ml";"F";"85ml";"arabe";"14";"19443";"25";"24400";"23100";"21900"
"2002";"AL WATANIAH";"Attar Al Wesal EDP 100ml";"M";"100ml";"arabe";"13,5";"18749";"25";"23500";"22300";"21100"
"120901";"LATTAFA";"Victoria EDP 100ml";"F";"100ml";"arabe";"25";"34720";"25";"43400";"41300";"39100"
"15713";"LATTAFA";"Ana Abiyedh Rouge EDP 60ml";"U";"60ml";"arabe";"11,5";"15971";"25";"20000";"19000";"18000"
"51184";"LATTAFA";"Pride Ishq Al Shuyukh Gold EDP 100ml";"F";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"68339";"LATTAFA";"Khamrah Qahwa EDP 100ml";"U";"100ml";"arabe";"24";"33331";"25";"41700";"39600";"37500"
"923170";"CALVIN KLEIN";"CK One EDT 100ml";"U";"100ml";"mid";"21,99";"30540";"40";"42800";"40700";"38500"
"215737";"ARMAF";"Odyssey Go Mango EDP 100ml";"U";"100ml";"arabe";"26";"36109";"25";"45200";"42900";"40700"
"887471";"ANIMALE";"Animale For Men EDT 100ml";"M";"100ml";"mid";"16";"22221";"40";"31200";"29600";"28000"
"13318";"AL WATANIAH";"Ghala EDP 100ml";"F";"100ml";"arabe";"11";"15277";"25";"19100";"18200";"17200"
"62175";"LATTAFA";"Bade'e Al Oud Sublime EDP 100ml";"U";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"38975";"LATTAFA";"Al Noble Safeer EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"905844";"ARMAF";"Club de Nuit Women EDP 105ml";"F";"105ml";"arabe";"28";"38886";"25";"48700";"46200";"43800"
"943284";"ARMAF";"Club de Nuit Milestone EDP 105ml";"U";"105ml";"arabe";"29";"40275";"25";"50400";"47900";"45400"
"943295";"ARMAF";"Club de Nuit Sillage EDP 100ml";"U";"100ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"23464";"ARMAF";"Club de Nuit Untold EDP 105ml";"U";"105ml";"arabe";"33";"45830";"25";"57300";"54500";"51600"
"94620";"LATTAFA";"Angham EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"2024";"AL WATANIAH";"Sultan Al Lail EDP 100ml";"M";"100ml";"arabe";"10,5";"14582";"25";"18300";"17400";"16500"
"200753";"ARMAF";"Club de Nuit Maleka EDP 105ml";"F";"105ml";"arabe";"36";"49997";"25";"62500";"59400";"56300"
"886986";"DIOR";"Sauvage EDP 100ml";"M";"100ml";"lujo";"108";"149990";"60";"240000";"228000";"216000"
"201700";"DAR EL WARD";"Dalal EDP 100ml";"F";"100ml";"arabe";"32";"44442";"25";"55600";"52800";"50000"
"103733";"LATTAFA";"Mayar Cherry Intense EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"200786";"ARMAF";"Club de Nuit Lionheart Woman EDP 100ml";"F";"100ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"205938";"AFNAN";"Turathi Electric EDP 90ml";"U";"90ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"23453";"ARMAF";"Club de Nuit Iconic EDP 105ml";"M";"105ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"26243";"LATTAFA";"Yara EDP 100ml";"F";"100ml";"arabe";"25";"34720";"25";"43400";"41300";"39100"
"39673";"AL WATANIAH";"Oud Mystery Intense EDP 100ml";"U";"100ml";"arabe";"16,5";"22915";"25";"28700";"27300";"25800"
"38964";"LATTAFA";"Al Noble Wazeer EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"39190";"LATTAFA";"Al Noble Ameer EDP 100ml";"U";"100ml";"arabe";"22";"30554";"25";"38200";"36300";"34400"
"241870";"RASASI";"Hawas Kobra EDP 100ml";"M";"100ml";"arabe";"34";"47219";"25";"59100";"56100";"53200"
"38997";"LATTAFA";"Emaan EDP 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"103239";"ARMAF";"Odyssey Mandarin Sky EDP 100ml";"M";"100ml";"arabe";"24";"33331";"25";"41700";"39600";"37500"
"225200";"ARMAF";"Club de Nuit Bling EDP 75ml";"U";"75ml";"arabe";"36";"49997";"25";"62500";"59400";"56300"
"97958";"FRENCH AVENUE";"Liquid Brun EDP 100ml";"M";"100ml";"nicho";"35";"48608";"50";"73000";"69300";"65700"
"200237";"RASASI";"Hawas Black EDP 100ml";"M";"100ml";"arabe";"32";"44442";"25";"55600";"52800";"50000"
"887875";"ARMAF";"Club de Nuit Intense EDT 105ml";"M";"105ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"26300";"LATTAFA";"Asad EDP 100ml";"M";"100ml";"arabe";"24";"33331";"25";"41700";"39600";"37500"
"971981";"AFNAN";"9PM EDP 100ml";"M";"100ml";"arabe";"26";"36109";"25";"45200";"42900";"40700"
"592005";"CAROLINA HERRERA";"212 EDT 100ml";"M";"100ml";"lujo";"61,99";"86092";"60";"137800";"130900";"124000"
"999622";"XERJOFF";"Erba Pura EDP 100ml";"U";"100ml";"nicho";"139,99";"194418";"50";"291700";"277100";"262500"
"92672";"LATTAFA";"The Kingdom EDP F 100ml";"F";"100ml";"arabe";"20";"27776";"25";"34800";"33000";"31300"
"9591";"ARMAF";"Club de Nuit Urban Man Elixir EDP 105ml";"M";"105ml";"arabe";"30";"41664";"25";"52100";"49500";"46900"
"200551";"FRENCH AVENUE";"Vulcan Feu EDP 100ml";"U";"100ml";"nicho";"36";"49997";"50";"75000";"71300";"67500"
"41699";"AFNAN";"9AM Dive EDP 100ml";"U";"100ml";"arabe";"24,5";"34026";"25";"42600";"40500";"38300"
"202700";"CAROLINA HERRERA";"212 Vip EDT 100ml";"M";"100ml";"lujo";"64";"88883";"60";"142300";"135200";"128000"
"102473";"LATTAFA";"Afeef EDP 100ml";"F";"100ml";"arabe";"58";"80550";"25";"100700";"95700";"90700"
"92661";"LATTAFA";"The Kingdom EDP M 100ml";"M";"100ml";"arabe";"28";"38886";"25";"48700";"46200";"43800"
"74448";"XERJOFF";"Erba Gold EDP 100ml";"U";"100ml";"nicho";"159,99";"222194";"50";"333300";"316700";"300000"
"253693";"LATTAFA";"Khamrah Waha EDP 100ml";"U";"100ml";"arabe";"45";"62496";"25";"78200";"74300";"70400"
"235862";"AFNAN";"9PM Night Out Extrait 100ml";"U";"100ml";"arabe";"45";"62496";"25";"78200";"74300";"70400"
"82570";"LATTAFA";"Teriaq EDP 100ml";"U";"100ml";"arabe";"24";"33331";"25";"41700";"39600";"37500"
"203229";"LATTAFA";"Atheeri EDP 100ml";"F";"100ml";"arabe";"55";"76384";"25";"95500";"90800";"86000"
